Product,Category,Price,Discount,Promotion,Rating,Reviews,Source
,shirt,₹419,72% off,No promotion,3.7 out of 5 stars,123,Amazon
,shirt,₹959,Men's 100% Cotton Slim Fit Printed Full Sleeve Formal Shirt,No promotion,4.0 out of 5 stars,64,Amazon
,shirt,₹599,74% off,No promotion,,,Amazon
,shirt,₹599,70% off,No promotion,3.7 out of 5 stars,663,Amazon
,shirt,₹669,67% off,No promotion,3.7 out of 5 stars,59,Amazon
,shirt,₹749,63% off,No promotion,3.7 out of 5 stars,119,Amazon
,shirt,₹988,55% off,No promotion,4.1 out of 5 stars,95,Amazon
,shirt,₹575,68% off,No promotion,4.3 out of 5 stars,8,Amazon
,shirt,₹496,67% off,No promotion,4.1 out of 5 stars,279,Amazon
,shirt,₹499,67% off,No promotion,4.0 out of 5 stars,"1,135",Amazon
,shirt,₹878,51% off,No promotion,4.8 out of 5 stars,10,Amazon
,shirt,₹506,78% off,No promotion,3.8 out of 5 stars,646,Amazon
,shirt,₹623,71% off,No promotion,3.2 out of 5 stars,7,Amazon
,shirt,₹691,Mens | Full Sleeve | Solid | Slim Fit | 100% Cotton | Button Down Collar | Shirts,No promotion,4.0 out of 5 stars,492,Amazon
,shirt,₹499,67% off,No promotion,3.6 out of 5 stars,23,Amazon
,shirt,₹749,46% off,No promotion,4.2 out of 5 stars,383,Amazon
,shirt,₹499,75% off,No promotion,4.1 out of 5 stars,104,Amazon
,shirt,₹623,52% off,No promotion,4.1 out of 5 stars,988,Amazon
,shirt,₹674.10,73% off,No promotion,4.1 out of 5 stars,70,Amazon
,shirt,₹458,71% off,No promotion,3.1 out of 5 stars,24,Amazon
,shirt,"₹1,019",Men's 100% Cotton Slim Fit Full Sleeve Checkered Formal Shirt,No promotion,4.0 out of 5 stars,137,Amazon
,shirt,"₹1,139",43% off,No promotion,3.9 out of 5 stars,280,Amazon
,shirt,₹399,90% off,No promotion,3.6 out of 5 stars,"2,107",Amazon
,shirt,₹499,71% off,No promotion,3.8 out of 5 stars,"2,079",Amazon
,shirt,₹599,70% off,No promotion,3.7 out of 5 stars,663,Amazon
,shirt,₹554,70% off,No promotion,3.9 out of 5 stars,"24,545",Amazon
,shirt,₹503.10,71% off,No promotion,3.9 out of 5 stars,218,Amazon
,shirt,"₹1,399",44% off,No promotion,3.9 out of 5 stars,455,Amazon
,shirt,₹909.99,67% off,No promotion,3.7 out of 5 stars,481,Amazon
,shirt,₹399,78% off,No promotion,3.6 out of 5 stars,34,Amazon
